Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton
Rural,Mid,North,Zone 2,1,1,3,5062,Company Owned,50,0,0,1,190,19.0,4,0,B+,3,12,5094
Rural,Mid,West,Zone 4,0,0,2,5569,Company Owned,16,1,0,1,231,28.0,9,0,B+,5,11,12127
Rural,Mid,West,Zone 2,0,1,2,5539,Company Owned,28,0,0,1,261,22.0,13,0,A,4,12,17134
Rural,Mid,North,Zone 3,4,1,4,4598,Rented,58,0,0,1,159,22.0,29,1,A+,5,27,38082
Rural,Small,South,Zone 1,1,1,2,5679,Rented,19,0,0,1,189,24.0,22,0,B,2,21,27100
Rural,Mid,South,Zone 2,8,0,2,5678,Company Owned,31,0,0,1,65,41.0,19,0,B+,4,1,24062
Rural,Mid,South,Zone 3,6,0,2,3980,Company Owned,49,0,0,1,156,31.0,14,1,B+,6,19,17117
Rural,Small,North,Zone 6,5,0,4,3588,Company Owned,69,0,0,0,199,24.0,28,1,C,6,8,40150
Rural,Mid,South,Zone 3,8,1,2,4388,Company Owned,32,0,0,1,80,37.0,25,0,C,5,19,32098
Urban,Large,West,Zone 5,1,0,4,5670,Rented,25,0,0,1,140,31.0,12,0,C,2,14,15125
Rural,Mid,North,Zone 3,7,1,3,5496,Company Owned,46,0,0,0,67,31.0,22,0,B,3,27,26066
Rural,Small,West,Zone 6,5,3,4,4063,Company Owned,40,0,0,1,229,21.0,8,0,C,6,9,10077
Rural,Small,South,Zone 6,8,3,2,5790,Rented,31,0,0,0,98,36.0,11,0,C,4,9,14150
Rural,Large,West,Zone 6,8,0,4,5119,Company Owned,48,0,0,0,261,24.0,6,1,A,1,6,8056
Rural,Mid,West,Zone 4,5,0,4,4552,Rented,67,0,0,0,230,17.0,12,0,B+,5,11,15082
Rural,Large,North,Zone 6,4,0,2,3540,Rented,21,0,0,0,164,19.0,18,1,B+,6,23,21064
Rural,Mid,South,Zone 2,4,0,3,3559,Company Owned,51,0,0,1,197,29.0,34,0,A,4,12,45061
Rural,Mid,South,Zone 4,7,0,2,6695,Rented,51,0,0,1,80,24.0,14,1,A+,3,26,21116
Rural,Small,South,Zone 6,4,0,2,5329,Company Owned,57,0,0,0,262,46.0,16,0,C,1,2,22055
Rural,Large,West,Zone 5,5,0,3,4031,Company Owned,59,0,0,1,125,24.0,34,0,B,5,14,42116
Rural,Mid,East,Zone 3,0,1,8,6804,Rented,59,0,0,0,77,29.0,17,0,B,4,27,19100
Rural,Mid,South,Zone 3,7,0,3,4243,Company Owned,23,0,0,1,153,43.0,38,0,B,2,19,47071
Rural,Large,West,Zone 6,3,0,4,6729,Rented,21,0,0,1,80,32.0,23,1,C,5,23,32117
Rural,Small,South,Zone 1,1,0,1,4487,Company Owned,46,0,1,1,216,28.0,25,0,C,5,21,31087
Rural,Large,North,Zone 6,5,2,2,4714,Rented,17,0,0,0,247,26.0,16,1,A+,3,28,20149
Rural,Large,North,Zone 6,5,0,2,3285,Company Owned,56,0,0,0,123,28.0,25,0,C,4,28,31139
Rural,Large,North,Zone 6,7,1,2,4922,Rented,22,0,0,0,167,20.0,22,0,B,4,23,27137
Urban,Large,West,Zone 5,7,0,3,5667,Company Owned,63,0,0,1,220,38.0,21,1,A+,3,14,31113
Rural,Mid,South,Zone 4,1,1,3,5551,Rented,30,0,0,0,134,30.0,15,0,A,2,26,20092
Rural,Large,North,Zone 6,3,0,3,4200,Rented,57,0,0,1,216,39.0,36,0,A,6,28,49083
Rural,Large,West,Zone 6,1,0,2,5601,Rented,53,0,0,0,64,40.0,9,0,B,1,29,10145
Urban,Large,South,Zone 5,3,0,3,3700,Company Owned,66,0,0,1,196,26.0,31,1,A+,5,10,44116
Rural,Mid,West,Zone 3,4,0,4,4020,Rented,36,0,0,0,240,23.0,6,1,A+,5,19,8127
Urban,Large,West,Zone 6,4,0,4,4472,Company Owned,50,0,0,1,85,23.0,20,1,C,3,6,27128
Rural,Mid,North,Zone 4,3,0,5,4248,Company Owned,29,0,0,1,242,31.0,16,0,B+,5,26,20127
Rural,Mid,North,Zone 2,6,1,2,3943,Rented,38,0,0,0,190,19.0,18,0,A,4,1,23149
Rural,Mid,South,Zone 3,4,0,2,4897,Rented,44,0,0,0,253,27.0,18,1,A+,2,27,23134
Rural,Small,North,Zone 6,3,0,4,4524,Company Owned,55,0,0,1,66,24.0,14,0,B+,3,13,18150
Rural,Large,West,Zone 6,6,0,4,5559,Rented,49,0,0,0,229,20.0,9,1,B+,4,23,10080
Rural,Large,North,Zone 6,2,4,2,5308,Rented,69,0,0,1,77,39.0,17,0,B,3,23,19095
Rural,Small,South,Zone 1,1,1,2,4004,Company Owned,38,1,0,1,168,27.0,25,1,C,4,21,32057
Urban,Large,North,Zone 5,8,0,2,7311,Company Owned,62,0,0,1,219,34.0,21,0,A,6,17,28127
Urban,Small,North,Zone 1,4,0,2,4657,Rented,39,0,0,0,110,17.0,23,0,B+,5,30,27107
Rural,Small,North,Zone 6,2,0,4,3810,Rented,54,0,0,1,69,30.0,31,1,A+,2,13,44129
Rural,Large,South,Zone 6,7,0,4,4445,Rented,47,1,1,1,239,29.0,10,1,A+,5,23,13061
Rural,Mid,South,Zone 2,3,1,2,5193,Rented,30,0,0,0,237,26.0,20,1,A+,6,32,25145
Rural,Large,North,Zone 6,1,1,2,4770,Company Owned,37,0,0,1,113,16.0,22,0,B,2,7,26060
Rural,Large,West,Zone 5,5,0,4,5772,Company Owned,28,0,0,1,181,32.0,25,0,B+,3,25,28143
Rural,Mid,South,Zone 4,4,0,4,6074,Rented,49,0,0,0,255,22.0,32,0,C,4,26,44116
Rural,Large,North,Zone 5,1,0,3,6720,Rented,30,0,1,1,90,25.0,22,0,B+,4,17,27069
Rural,Mid,South,Zone 4,7,0,2,4135,Rented,68,0,0,0,151,19.0,27,0,B+,6,26,34108
Rural,Mid,South,Zone 2,6,1,3,3880,Company Owned,23,0,1,1,112,35.0,9,1,B+,3,32,11134
Rural,Mid,South,Zone 2,2,1,2,4821,Rented,68,0,0,1,196,44.0,17,1,C,3,32,22121
Rural,Mid,North,Zone 2,3,5,2,4197,Company Owned,29,0,0,1,90,38.0,16,1,A+,4,22,21076
Rural,Large,West,Zone 6,6,0,2,3820,Rented,50,0,0,1,58,29.0,14,1,B+,1,23,18149
Urban,Large,North,Zone 6,2,3,3,3973,Company Owned,36,0,0,1,140,22.0,22,0,C,5,6,27151
Rural,Mid,North,Zone 3,2,0,2,4244,Company Owned,38,0,0,1,255,29.0,13,1,B+,3,19,17143
Rural,Large,North,Zone 5,6,0,3,2802,Company Owned,40,0,0,1,256,28.0,16,1,A,6,24,21130
Rural,Large,North,Zone 6,0,1,1,8913,Rented,55,0,0,1,95,38.0,14,0,C,6,29,18118
Urban,Mid,North,Zone 2,3,0,2,5309,Company Owned,16,0,0,1,84,37.0,26,0,B,2,12,30115
Rural,Small,West,Zone 6,0,0,4,5957,Company Owned,33,0,0,0,83,22.0,8,0,C,1,15,10060
Rural,Mid,West,Zone 4,8,2,4,3919,Rented,49,0,0,0,173,18.0,6,1,A+,5,26,8102
Rural,Large,West,Zone 6,5,0,4,7117,Company Owned,23,0,0,0,212,25.0,18,0,B,3,23,20090
Rural,Small,West,Zone 6,2,1,2,4339,Rented,63,0,0,1,158,11.0,14,0,B+,5,15,17140
Rural,Large,North,Zone 5,4,2,4,4407,Rented,19,0,0,1,103,21.0,18,0,A,3,24,22100
Urban,Large,North,Zone 6,1,0,4,4760,Company Owned,48,0,0,1,55,34.0,26,0,A,4,28,35130
Rural,Large,North,Zone 5,7,0,2,5526,Company Owned,27,1,1,1,257,32.0,13,0,C,6,17,17097
Urban,Mid,South,Zone 2,8,0,2,5245,Rented,18,0,1,0,70,31.0,18,1,B+,1,32,24113
Rural,Small,East,Zone 1,4,0,4,4564,Company Owned,56,0,1,1,160,37.0,28,1,A+,5,31,39115
Rural,Large,South,Zone 5,7,0,2,6633,Company Owned,27,0,0,0,181,33.0,14,1,B,3,14,18123
Rural,Large,North,Zone 6,1,1,2,6917,Company Owned,35,0,0,1,220,28.0,4,0,C,2,28,5103
Rural,Mid,North,Zone 4,7,0,3,4156,Company Owned,39,0,0,1,96,43.0,6,0,B,5,26,7118
Rural,Mid,West,Zone 4,1,1,4,4980,Company Owned,36,1,0,1,108,26.0,14,0,C,6,26,18117
Rural,Large,North,Zone 5,8,1,3,4821,Company Owned,59,0,0,1,271,28.0,23,1,B+,2,14,28094
Rural,Large,West,Zone 6,0,2,5,4456,Rented,38,0,1,1,124,25.0,24,0,A,3,6,31059
Rural,Mid,South,Zone 3,5,2,2,4824,Rented,45,0,0,0,263,17.0,16,0,B+,4,19,18080
Rural,Large,North,Zone 6,5,2,4,3520,Rented,45,0,0,0,239,22.0,14,0,B+,1,29,16060
Rural,Mid,North,Zone 3,2,0,4,4739,Rented,17,0,0,0,234,17.0,22,0,B,3,19,27150
Rural,Mid,West,Zone 4,7,0,4,5299,Company Owned,35,0,0,0,109,23.0,34,0,C,2,11,46100
Rural,Large,North,Zone 6,0,1,2,5239,Rented,65,0,0,1,198,25.0,14,0,A+,6,28,19131
Rural,Mid,South,Zone 4,1,0,2,6086,Rented,38,0,0,0,182,23.0,6,0,B+,5,20,7105
Rural,Mid,North,Zone 2,7,0,4,5118,Company Owned,39,0,0,1,114,39.0,24,1,B,3,1,31133
Rural,Mid,South,Zone 2,1,0,2,5104,Rented,28,0,0,1,166,29.0,8,0,B+,1,32,10140
Rural,Mid,North,Zone 4,2,0,5,5218,Rented,24,0,0,1,151,32.0,18,0,A+,4,26,22122
Rural,Mid,West,Zone 4,6,0,4,5117,Company Owned,51,0,0,1,96,32.0,14,0,B+,3,26,18139
Rural,Mid,West,Zone 4,1,1,5,5392,Company Owned,58,0,1,1,158,27.0,23,0,C,5,11,29073
Rural,Mid,West,Zone 2,5,0,4,4221,Company Owned,54,1,0,1,141,24.0,12,1,A+,5,12,17058
Rural,Mid,South,Zone 4,5,0,3,6299,Company Owned,21,0,0,1,261,29.0,16,0,B,5,26,20057
Rural,Large,West,Zone 5,5,0,2,6541,Company Owned,52,0,0,1,165,20.0,10,1,C,3,14,14103
Rural,Mid,West,Zone 4,7,0,4,5879,Rented,67,0,1,1,204,25.0,6,0,C,6,11,8070
Rural,Large,South,Zone 6,7,1,3,3430,Company Owned,34,0,0,0,262,27.0,11,0,C,4,29,14105
Rural,Large,North,Zone 5,6,1,2,5285,Company Owned,62,1,0,1,141,44.0,7,0,A,2,25,9114
Rural,Mid,West,Zone 4,5,0,3,5153,Company Owned,64,0,0,1,60,29.0,4,0,B,3,11,5105
Rural,Large,West,Zone 6,7,3,5,2748,Rented,56,0,0,0,130,22.0,12,0,B+,3,23,14114
Rural,Mid,South,Zone 4,2,1,3,6590,Company Owned,27,0,0,1,254,12.0,18,0,B+,5,26,22062
Rural,Mid,South,Zone 2,7,0,2,3795,Rented,28,0,0,1,227,31.0,18,1,A+,5,32,24111
Rural,Small,South,Zone 6,4,0,2,5278,Company Owned,51,0,0,1,247,27.0,20,0,A,5,9,28121
Rural,Mid,West,Zone 2,3,0,4,4418,Rented,64,0,0,1,78,22.0,37,0,A,4,1,50124
Rural,Small,South,Zone 6,2,1,2,4292,Company Owned,49,0,0,1,252,31.0,28,0,C,5,2,36111
Rural,Large,South,Zone 5,2,0,3,6780,Company Owned,40,0,0,1,261,23.0,7,0,B+,2,25,8097
Rural,Small,West,Zone 6,7,3,3,3046,Company Owned,69,0,0,1,177,33.0,14,0,B+,4,15,16150
Rural,Large,South,Zone 6,5,0,2,4119,Rented,31,0,0,1,105,27.0,15,0,B,4,29,19088
Rural,Small,West,Zone 1,4,0,4,5340,Company Owned,49,0,0,0,69,29.0,26,1,C,2,3,34129
Rural,Large,North,Zone 5,4,2,3,6298,Company Owned,51,0,0,0,79,33.0,4,0,B,2,14,5103
Rural,Large,South,Zone 5,3,1,3,5243,Company Owned,40,0,0,0,232,29.0,22,0,B,6,14,26132
Rural,Mid,West,Zone 4,2,1,2,6320,Company Owned,38,0,0,1,66,33.0,30,0,B+,2,11,36131
Rural,Mid,South,Zone 3,8,0,2,4172,Company Owned,68,0,0,1,171,27.0,18,0,B,6,27,20065
Rural,Small,East,Zone 1,8,0,8,3948,Rented,54,1,0,1,161,25.0,15,0,B,5,31,19124
Rural,Mid,South,Zone 2,6,0,2,4078,Company Owned,49,0,0,1,110,24.0,21,0,B+,4,12,24128
Rural,Mid,North,Zone 2,4,0,2,4430,Company Owned,33,0,0,0,92,32.0,20,0,C,2,12,27085
Rural,Small,North,Zone 6,8,1,3,5041,Company Owned,31,0,0,1,262,26.0,26,0,C,4,13,33074
Rural,Mid,South,Zone 2,7,0,3,3825,Company Owned,54,0,0,1,223,40.0,5,0,B,1,32,6079
Rural,Small,North,Zone 1,1,1,2,4554,Rented,31,0,1,1,144,39.0,24,0,A,4,3,30106
Rural,Mid,South,Zone 3,8,0,3,4334,Company Owned,53,0,0,1,86,31.0,15,1,A+,4,27,21064
Rural,Small,North,Zone 1,6,1,4,5013,Company Owned,32,1,0,1,225,36.0,11,1,A+,6,21,14062
Rural,Mid,South,Zone 4,8,1,3,4670,Company Owned,55,0,1,1,128,31.0,24,0,A,4,26,31107
Rural,Large,North,Zone 5,4,3,2,5862,Rented,26,0,0,0,196,18.0,16,0,A,4,5,21093
Rural,Large,West,Zone 6,7,0,4,4393,Company Owned,59,1,0,1,145,32.0,9,0,A,4,23,12055
Rural,Mid,West,Zone 3,1,1,4,5150,Company Owned,48,0,0,1,99,25.0,6,0,C,1,19,8146
Rural,Small,West,Zone 6,7,1,7,6062,Company Owned,32,0,0,1,115,39.0,18,1,A+,1,15,24069
Rural,Large,North,Zone 6,4,2,5,4396,Rented,58,0,0,1,187,37.0,15,1,A+,4,28,19128
Rural,Small,North,Zone 1,1,0,6,4279,Company Owned,55,0,0,1,58,31.0,4,0,C,2,3,6090
Rural,Large,West,Zone 6,1,0,2,3775,Company Owned,17,1,0,1,114,42.0,20,0,A+,1,23,28133
Rural,Small,South,Zone 1,3,0,2,4480,Company Owned,50,0,0,1,200,24.0,17,0,B,5,16,21136
Rural,Large,South,Zone 5,2,0,3,4937,Rented,40,0,0,0,260,18.0,10,0,B,6,14,12118
Rural,Mid,South,Zone 4,1,0,2,4763,Company Owned,16,1,0,1,215,27.0,39,0,B+,4,26,48139
Rural,Small,North,Zone 1,7,3,4,4838,Rented,26,0,0,0,97,18.0,21,1,A+,5,3,28151
Rural,Mid,North,Zone 4,3,0,3,5861,Company Owned,55,1,0,1,106,35.0,24,0,A,4,26,30126
Rural,Large,North,Zone 5,7,1,3,5420,Company Owned,58,0,0,0,134,25.0,22,0,B+,3,17,27147
Rural,Mid,South,Zone 2,6,0,2,4114,Rented,53,0,0,0,133,24.0,18,1,B,4,32,23135
Rural,Mid,West,Zone 3,0,0,5,4028,Company Owned,58,0,0,0,218,45.0,23,0,B,5,19,26084
Rural,Mid,South,Zone 4,0,0,2,4024,Company Owned,66,0,0,0,119,32.0,24,0,A+,2,26,30105
Rural,Mid,West,Zone 3,1,2,3,4790,Rented,47,0,0,0,206,22.0,21,0,C,3,27,26123
Rural,Mid,West,Zone 3,6,0,4,4340,Rented,18,0,0,0,80,19.0,26,0,B+,4,19,30145
Rural,Mid,North,Zone 3,5,5,2,3826,Company Owned,50,0,0,1,239,26.0,24,0,B,5,27,27112
Rural,Small,South,Zone 6,1,4,3,4818,Company Owned,55,0,0,1,94,31.0,4,0,C,3,9,6097
Rural,Large,North,Zone 5,3,0,4,4137,Company Owned,50,0,0,1,256,26.0,23,0,B+,2,17,27058
Rural,Small,West,Zone 1,1,0,3,4884,Rented,31,0,1,1,206,32.0,12,0,B+,5,30,15110
Rural,Large,North,Zone 6,4,0,3,4497,Rented,52,0,0,1,181,32.0,20,0,A,2,28,27119
Rural,Small,West,Zone 1,1,0,4,4751,Rented,43,0,0,1,233,28.0,19,0,B+,3,30,23137
Rural,Large,North,Zone 6,1,0,4,4107,Rented,68,1,0,1,234,40.0,26,0,A,5,28,34138
Rural,Mid,West,Zone 4,4,1,4,5443,Rented,45,0,0,1,234,20.0,15,0,A,6,11,19103
Rural,Large,West,Zone 5,5,0,3,4948,Company Owned,45,0,0,1,160,23.0,20,0,B+,4,25,23084
Rural,Mid,South,Zone 2,4,0,2,6385,Company Owned,46,0,1,0,164,28.0,13,1,C,2,22,18151
Rural,Large,West,Zone 6,4,0,5,4583,Rented,19,0,0,1,235,30.0,25,0,B+,4,6,29116
Rural,Large,North,Zone 6,2,0,2,5017,Company Owned,37,0,0,0,248,20.0,24,0,B,2,6,28064
Rural,Mid,West,Zone 3,5,0,4,4760,Company Owned,53,0,0,1,91,29.0,32,0,B,6,27,40088
Rural,Mid,North,Zone 2,3,0,4,3972,Company Owned,30,0,0,1,152,47.0,10,1,A+,1,12,15090
Rural,Large,North,Zone 6,5,1,3,5981,Rented,18,0,0,1,240,29.0,24,1,A+,2,23,32055
Rural,Mid,North,Zone 4,3,0,2,3521,Rented,65,0,0,0,81,25.0,33,0,C,2,26,43066
Rural,Small,South,Zone 6,4,3,3,8736,Rented,63,0,1,1,187,28.0,6,1,B,5,15,7120
Rural,Large,South,Zone 6,8,0,2,5390,Company Owned,70,0,0,0,264,22.0,14,1,A+,6,29,21059
Rural,Mid,North,Zone 3,8,0,3,4671,Rented,43,0,0,1,142,35.0,6,0,A,2,27,8100
Rural,Large,North,Zone 6,7,1,3,8137,Rented,33,0,0,1,101,23.0,13,0,B+,1,28,16116
Rural,Mid,West,Zone 4,3,1,2,6614,Company Owned,60,0,0,1,186,31.0,15,0,A,6,26,19114
Rural,Mid,South,Zone 3,3,0,2,4547,Company Owned,24,0,0,1,246,34.0,5,0,A,3,19,6134
Rural,Mid,West,Zone 3,8,3,4,3583,Rented,24,0,0,1,227,27.0,5,0,B,6,19,6106
Rural,Large,South,Zone 5,8,0,2,4532,Company Owned,40,0,0,1,212,27.0,24,1,B,5,14,31076
Rural,Mid,North,Zone 2,1,0,2,8236,Company Owned,26,0,0,1,267,29.0,9,0,B,1,1,12129
Rural,Large,North,Zone 6,0,1,3,3988,Rented,28,0,0,1,211,30.0,29,0,A+,4,28,38151
Urban,Mid,South,Zone 4,4,3,2,6468,Rented,24,0,0,0,80,29.0,12,0,A,4,26,15087
Rural,Mid,West,Zone 4,7,0,4,5620,Company Owned,68,0,0,1,221,25.0,22,1,A+,5,11,32056
Rural,Large,North,Zone 6,5,0,2,5598,Company Owned,27,0,0,1,175,29.0,25,1,B,2,28,30056
Rural,Small,North,Zone 1,0,0,2,6015,Rented,31,0,0,1,195,30.0,14,0,A+,4,3,18127
Rural,Mid,West,Zone 4,0,0,4,4207,Rented,61,1,0,1,189,30.0,15,0,B,6,11,18066
Rural,Large,North,Zone 6,6,2,3,4752,Company Owned,28,0,0,1,170,40.0,5,1,B,2,28,6111
Urban,Mid,North,Zone 4,0,0,4,4739,Rented,55,0,0,1,198,38.0,39,0,A,5,26,52109
Rural,Large,North,Zone 6,1,1,4,5211,Rented,33,0,0,1,190,33.0,4,0,C,1,28,6059
Rural,Large,North,Zone 6,4,3,2,5558,Rented,47,1,0,0,159,40.0,5,1,A,3,28,8059
Rural,Mid,South,Zone 3,1,0,2,6927,Company Owned,36,1,0,0,106,28.0,18,0,C,4,27,23122
Rural,Small,North,Zone 1,3,1,4,5059,Company Owned,43,1,0,1,206,34.0,33,0,B+,6,31,39139
Rural,Small,South,Zone 1,0,0,4,4560,Rented,29,0,0,0,225,26.0,13,0,A+,1,21,17148
Rural,Mid,South,Zone 4,2,0,2,6499,Company Owned,41,0,0,1,190,35.0,11,0,A,5,26,14108
Rural,Large,North,Zone 6,8,1,3,5606,Company Owned,68,0,0,1,214,25.0,12,1,A,4,23,16066
Rural,Large,West,Zone 6,0,0,5,8052,Company Owned,22,0,0,1,101,21.0,19,0,A,6,23,25126
Urban,Mid,North,Zone 3,6,1,4,4723,Rented,29,0,0,1,161,31.0,10,1,B,4,19,12129
Rural,Mid,North,Zone 3,5,1,3,5428,Company Owned,30,0,0,1,70,38.0,7,0,B+,4,27,8144
Rural,Mid,West,Zone 3,5,4,4,6060,Rented,66,0,0,1,141,39.0,25,0,B,6,19,29116
Rural,Large,North,Zone 5,8,0,3,4796,Rented,30,0,0,1,86,33.0,12,0,A,1,5,16130
Rural,Large,North,Zone 6,6,1,2,4485,Company Owned,23,0,0,1,157,29.0,5,0,A,2,29,7113
Rural,Large,North,Zone 5,2,0,4,4513,Company Owned,53,0,0,0,170,27.0,38,0,A+,2,24,51147
Rural,Large,North,Zone 6,5,0,3,5483,Company Owned,24,1,0,1,214,28.0,17,1,C,4,29,22142
Rural,Small,South,Zone 6,5,0,2,6765,Company Owned,62,0,0,1,157,32.0,11,0,A,2,2,15069
Rural,Mid,West,Zone 4,5,0,4,8506,Company Owned,62,0,0,0,152,36.0,34,0,B+,4,11,43072
Rural,Mid,West,Zone 4,1,0,3,5042,Rented,53,0,0,1,84,24.0,4,1,B+,3,11,5130
Rural,Large,North,Zone 5,0,0,3,5289,Rented,65,0,0,1,234,30.0,24,0,B+,4,17,28146
Rural,Mid,West,Zone 4,1,1,6,3291,Rented,31,0,0,1,146,27.0,18,0,C,3,11,23089
Rural,Large,West,Zone 5,8,0,4,3913,Rented,63,0,0,0,145,18.0,4,0,B,3,14,4146
Rural,Mid,South,Zone 2,7,0,4,3846,Company Owned,31,0,0,1,96,30.0,13,0,B+,3,32,17090
Rural,Small,West,Zone 6,5,4,4,4560,Company Owned,56,0,0,1,194,39.0,5,1,B,1,9,7071
Rural,Large,North,Zone 6,3,1,2,4192,Rented,28,0,0,0,168,28.0,21,0,C,4,28,27111
Rural,Small,West,Zone 6,5,3,4,5222,Rented,30,0,0,1,229,36.0,4,1,C,3,9,5102
Rural,Large,West,Zone 5,7,0,2,4975,Rented,19,0,0,1,101,45.0,6,0,A,2,10,7099
Rural,Small,West,Zone 1,4,0,3,5550,Rented,69,0,0,1,92,28.0,19,0,B,4,30,22128
Rural,Large,North,Zone 6,3,2,4,5719,Rented,51,0,0,1,270,40.0,23,0,B+,3,28,26098
Rural,Large,North,Zone 5,4,0,2,5467,Rented,57,0,0,1,270,32.0,24,1,A,4,17,31063
Rural,Large,West,Zone 6,7,0,3,5086,Company Owned,32,0,0,1,228,32.0,28,0,C,2,6,37072
Rural,Large,North,Zone 6,5,0,2,5211,Company Owned,47,0,0,1,174,26.0,13,0,B,4,6,16141
Urban,Small,North,Zone 6,1,0,4,5371,Rented,66,0,0,0,259,25.0,23,1,A+,4,13,32120
Urban,Large,North,Zone 6,1,1,4,5806,Company Owned,50,0,0,1,88,41.0,20,0,B,6,28,24098
Urban,Mid,South,Zone 4,3,0,2,3638,Company Owned,46,0,0,1,264,26.0,25,1,A+,6,26,35063
Urban,Small,South,Zone 6,2,0,2,2884,Company Owned,45,0,0,1,158,24.0,29,0,C,5,9,39095
Rural,Small,West,Zone 6,5,0,4,5713,Company Owned,40,0,0,1,122,22.0,6,0,B+,1,9,7073
Rural,Mid,West,Zone 4,5,2,3,4516,Company Owned,67,0,0,1,202,29.0,14,0,B,6,11,17060
Rural,Large,West,Zone 5,2,5,7,4709,Company Owned,22,0,0,1,59,27.0,4,0,C,2,25,5126
Rural,Small,North,Zone 6,7,5,4,4353,Rented,65,0,0,0,201,36.0,17,0,B,5,13,20082
Urban,Mid,North,Zone 3,8,0,3,5744,Company Owned,37,0,0,1,62,26.0,33,1,A+,6,27,47079
Rural,Mid,West,Zone 2,5,0,3,5410,Rented,18,0,0,1,169,23.0,24,1,B+,5,12,28112
Rural,Mid,West,Zone 4,0,3,5,5158,Company Owned,55,0,0,1,78,30.0,5,0,A+,4,11,6136
Rural,Large,West,Zone 5,8,2,4,4585,Rented,54,0,0,1,136,48.0,17,1,A,6,25,22093
Rural,Mid,North,Zone 4,4,3,4,5964,Company Owned,68,0,0,1,71,29.0,22,1,C,5,26,28150
Rural,Small,North,Zone 1,8,0,3,4217,Company Owned,26,0,0,1,255,34.0,27,0,B+,6,16,34147
Rural,Mid,West,Zone 2,4,0,5,4701,Rented,15,0,0,0,210,26.0,23,1,A,3,18,32114
Rural,Large,North,Zone 5,2,1,3,4011,Rented,32,0,0,1,71,29.0,15,0,B,3,25,17065
Rural,Mid,South,Zone 2,0,1,2,5321,Company Owned,21,0,0,0,131,23.0,28,0,A+,2,32,37147
Rural,Mid,West,Zone 4,4,0,7,4013,Rented,32,1,0,1,86,29.0,7,0,B,1,26,8091
Rural,Large,West,Zone 6,5,3,3,3983,Rented,33,0,0,0,268,23.0,15,0,A,4,23,18122
Rural,Small,South,Zone 6,5,0,4,5463,Company Owned,30,0,0,1,82,40.0,30,0,B+,6,2,37074
Rural,Mid,West,Zone 3,7,4,4,4475,Company Owned,19,0,0,1,140,22.0,14,0,C,4,19,18062
Rural,Large,North,Zone 6,6,0,3,5484,Company Owned,33,0,0,1,191,30.0,4,0,A,3,23,5078
Rural,Mid,South,Zone 4,2,0,2,4176,Company Owned,43,0,0,1,190,31.0,18,0,A+,3,26,22071
Rural,Mid,West,Zone 3,8,1,3,4146,Rented,49,0,0,0,84,19.0,26,0,C,3,19,33082
Rural,Large,West,Zone 5,3,0,2,4553,Company Owned,30,0,0,1,186,35.0,15,1,B+,4,14,18147
Rural,Large,West,Zone 5,8,0,4,4732,Rented,55,0,0,0,75,38.0,20,1,A+,5,10,25093
